PGN,VOLUME,ECO,NAME,CONTINUATION,CONTINUATIONNAME,,
1.a3,A,A00,Anderssen's Opening,FALSE,-,,
1.a3 a5 2.b4,A,A00,"Polish Gambit, Anderssen's Opening",FALSE,-,,
1.a3 e5 2.h3 d5,A,A00,Creepy Crawly Formation,FALSE,-,,
1.a3 g6 2.g4,A,A00,Andersspike,FALSE,-,,
1.a4,A,A00,Ware; Meadow Hay; Crab,FALSE,-,,
1.a4 b5,A,A00,"Wing Gambit, Ware Opening",FALSE,-,,
1.a4 b6 2.d4 d5 2.Nc3 Nd7,A,A00,"Cologne Gambit, Ware Opening",FALSE,-,,
1.a4 e5 2.a5 d5 3.e3 f5 4.a6,A,A00,Ware Gambit,FALSE,-,,
1.b4,A,A00,Polish; Orangutan; Sokolsky; Hunt,FALSE,-,,
1.b4 c5,A,A00,"Birmingham Gambit, Polish",FALSE,-,,
1.b4 c6,A,A00,"Outflank Variation, Polish",FALSE,-,,
1.b4 c6 2.Bb2 a5 3.b5 cxb5 4.e4,A,A00,"Schuhler Gambit, Polish",FALSE,-,,
1.b4 d5 2.Bb2 c6 3.a4,A,A00,"Myers Variation, Polish",FALSE,-,,
1.b4 e5 2.a3,A,A00,"Bugayev Attack, Polish",FALSE,-,,
1.b4 e5 2.Bb2 c5,A,A00,"Wolferts Gambit, Polish",FALSE,-,,
1.b4 e5 2.Bb2 f6 3.e4 Bxb4,A,A00,Schiffler-Sokolsky; Tartakower Gambit,FALSE,-,,
1.b4 e5 2.Bb2 f6 3.e4 Bxb4 4.Bc4 Nc6 5.f4 Qe7 6.f5 g6,A,A00,"Brinckmann Variation, Polish",FALSE,-,,
1.b4 Na6,A,A00,"Bucker Defense, Polish",FALSE,-,,
1.b4 Nc6,A,A00,"Grigorian Variation, Polish",FALSE,-,,
1.b4 Nf6 2.Bb2 g6 3.g4,A,A00,Polish Spike,FALSE,-,,
1.b4 Nh6,A,A00,"Karniewski; Tubingen Variation, Polish",FALSE,-,,
1.c3,A,A00,Saragossa; Hempel's Opening,FALSE,-,,
1.c3 e5 2.Qc2,A,A00,Hanham; Hayward,FALSE,-,,
1.d3,A,A00,Mieses; Valencia; Venezuelan Opening,FALSE,-,,
1.d3 c5 2.Nc3 Nc6 3.g3,A,A00,Venezolana,FALSE,-,,
1.d3 e5,A,A00,Reversed Rat,FALSE,-,,
1.d3 g6 2.g4,A,A00,Spike Deferred; Myers Spike Attack,FALSE,-,,
1.e3 d5 2.Nc3 Nf6 3.a3 e5 4.f4 exf4 5.Nf3,A,A00,Keoni-Hiva Gambit,FALSE,-,,
1.e3 e5,A,A00,Van't Kruijs Opening,FALSE,-,,
1.e3 e5 2.Bc4 b5 3.Bb3,A,A00,Bouncing Bishop Variation,FALSE,-,,
1.e3 e5 2.c4 d6 3.Nc3 Nc6 4.b3 Nf6,A,A00,Amsterdam Attack,FALSE,-,,
1.e3 e5 2.Nc3 d5 3.f4 exf4 4.Nf3,A,A00,Ekolu Variation,FALSE,-,,
1.e3 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3,A,A00,Alua Variation,FALSE,-,,
1.e3 e5 2.Nc3 Nf6 3.f4 exf4 4.Nf3,A,A00,Akahi Variation,FALSE,-,,
1.f3,A,A00,Barnes; Gedult-Gunderam; Walkerling,FALSE,-,,
1.f3 e5 2.e4,A,A00,King's Head Opening,FALSE,-,,
1.f3 e5 2.Kf2,A,A00,Hammerschlag; Pork Chop Opening,FALSE,-,,
1.g3,A,A00,Benko; Barczay; Bilek; Hungarian,FALSE,-,,
1.g3 d5 2.Bg2 e5 3.b4,A,A00,Gambit 59,FALSE,-,,
1.g3 d5 2.Bg2 e5 3.d4,A,A00,Regan Variation,FALSE,-,,
1.g3 e5 2.Nf3,A,A00,Reversed Alekhine,FALSE,-,,
1.g3 h5,A,A00,Lasker Simul Special,FALSE,-,,
1.g4,A,A00,Grob; Ahlhausen; Colibri; Fric; Genoa; Spike,FALSE,-,,
1.g4 d5 2.Bg2 Bxg4,A,A00,Grob Gambit,FALSE,-,,
1.g4 d5 2.Bg2 Bxg4 3.c4 d4,A,A00,"Romford Counter-Gambit, Grob",FALSE,-,,
1.g4 d5 2.Bg2 c6 3.g5,A,A00,"Spike, Grob",FALSE,-,,
1.g4 d5 2.Bg2 c6 3.h3,A,A00,"Short Spike, Grob",FALSE,-,,
1.g4 d5 2.e4,A,A00,"Zilbermints Gambit, Grob",FALSE,-,,
1.g4 d5 2.h3 e5,A,A00,"Keene Defense, Grob",FALSE,-,,
1.g4 e5 2.Bg2 d5 3.c4,A,A00,"Hurst Attack, Grob",FALSE,-,,
1.g4 f5,A,A00,"Alessi Gambit, Grob",FALSE,-,,
1.g4 g5,A,A00,Double Grob,FALSE,-,,
1.g4 g6 2.d3,A,A00,Spike Deferred,FALSE,-,,
1.g4 Nh6,A,A00,"Bucker Defense, Grob",FALSE,-,,
1.h3,A,A00,Clemenz Opening,FALSE,-,,
1.h4,A,A00,Kadas Opening,FALSE,-,,
1.h4,A,A00,Despres Opening,FALSE,-,,
1.h4 a5,A,A00,Koola-Koola,FALSE,-,,
1.h4 e5 2.d4,A,A00,Wulumulu,FALSE,-,,
1.Na3,A,A00,Durkin's Opening; Sodium Attack,FALSE,-,,
1.Nc3,A,A00,Dunst; Heinrichsen; Will Bull; Kotrc,FALSE,-,,
1.Nc3 a6,A,A00,"St. George Defense, Dunst",FALSE,-,,
1.Nc3 c5 2.d4 cxd4 3.Qxd4 Nc6 4.Qh4,A,A00,"Novosibirsk Variation, Dunst",FALSE,-,,
1.Nc3 c5 2.Rb1,A,A00,"Twyble Attack, Dunst",FALSE,-,,
1.Nc3 d5 2.e4 dxe4 3.d3,A,A00,Dunst Gambit,FALSE,-,,
1.Nc3 d5 2.e4 dxe4 3.f3 exf3 4.Qxf3,A,A00,"Pseudo-Diemer Gambit, Dunst",FALSE,-,,
1.Nc3 d5 2.e4 dxe4 3.Nxe4 Qd5,A,A00,"Amazon, Dunst",FALSE,-,,
1.Nc3 e5,A,A00,Reversed Nimzovich,FALSE,-,,
1.Nc3 e5 2.a3,A,A00,"Battambang, Dunst",FALSE,-,,
1.Nc3 e5 2.f4,A,A00,Irish Attack; Polish Attack,FALSE,-,,
1.Nc3 e5 2.Nf3,A,A00,"Napoleon Attack, Dunst",FALSE,-,,
1.Nc3 f5 2.g4,A,A00,"Glasscoe Gambit, Dunst",FALSE,-,,
1.Nc3 g6 2.h4,A,A00,"Anti-Pirc Variation, Dunst",FALSE,-,,
1.Nc3 Nf6 2.g4,A,A00,"Tubingen Gambit, Dunst",FALSE,-,,
1.Nh3,A,A00,Amar; Paris Opening,FALSE,-,,
1.Nh3,A,A00,Drunken Knight Opening,FALSE,-,,
1.Nh3 e5 2.f3 d5 3.Nf2,A,A00,Krazy Kat,FALSE,-,,
1.b3,A,A01,Larsen; Queen's Fianchetto; Nimzo-Larsen Attack A01,TRUE,Larsen; Queen's Fianchetto; Nimzo-Larsen Attac,,
1.b3 b6,A,A01,"Symmetrical Variation, Larsen",FALSE,-,,
1.b3 c5,A,A01,"English Variation, Larsen",FALSE,-,,
1.b3 d5,A,A01,"Classical Variation, Larsen",FALSE,-,,
1.b3 e5,A,A01,"Modern Variation, Larsen",FALSE,-,,
1.b3 e5 2.Bb2 f5 3.e4,A,A01,"Ringelbach Gambit, Larsen",FALSE,-,,
1.b3 e5 2.Bb2 Nc6 3.f4,A,A01,"Paschmann Gambit, Larsen",FALSE,-,,
1.b3 f5,A,A01,"Dutch Variation, Larsen",FALSE,-,,
1.b3 Nf6,A,A01,"Indian Variation, Larsen",FALSE,-,,
1.b3 Nf6 2.Bb2 g6 3.g4,A,A01,"Spike Variation, Larsen",FALSE,-,,
1.f4,A,A02, Bird's Opening; Dutch Attack,FALSE,-,,
1.f4 e5,A,A02,"From's Gambit, Bird",FALSE,-,,
1.f4 f5 2.d4 d5,A,A02,Canard Formation; Double Duck,FALSE,-,,
1.f4 f5 2.d4 d5,A,A02,"Pawn Thrust Attack, Bird",FALSE,-,,
1.f4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4,A,A02,"Swiss Gambit, Bird",FALSE,-,,
1.f4 g5,A,A02,"Hobbs Gambit, Bird",FALSE,-,,
1.f4 Nf6 2.Nf3 g6 3.b4,A,A02,"Batavo Polish Attack, Bird",FALSE,-,,
1.f4 d5,A,A03,A03,TRUE,A03,,
1.f4 d5 2.c4,A,A03,Sturm; Mujannah ,FALSE,-,,
1.f4 d5 2.e4 dxe4 3.d3,A,A03,"Prokofiev Gambit, Bird",FALSE,-,,
1.f4 d5 2.e4 dxe4 3.Nc3,A,A03,"Williams Gambit, Bird",FALSE,-,,
1.f4 Nh6,A,A03,"Horsefly Defense, Bird",FALSE,-,,
1.Nf3,A,A04,Reti; Zukertort; A04,TRUE,Reti; Zukertort,,
1.Nf3 d6,A,A04,Wade Defense,FALSE,-,,
1.Nf3 f5 2.e4,A,A04,Lisitsin Gambit; Polish Gambit,FALSE,-,,
1.Nf3 f5 2.e4 exf4 3.Ne5,A,A04,Rydel-Bloodgood Gambit,FALSE,-,,
1.Nf3 f5 2.e4 fxe4 3.Ng5,A,A04,Polish G; Dalesio G; Pirc-Lisitsin G,FALSE,-,,
1.Nf3 g5,A,A04,"Herrstrom Gambit, Reti",FALSE,-,,
1.Nf3 g5,A,A04,Oberndorfer Gambit; Reti,FALSE,-,,
1.Nf3 Nc6,A,A04,Lessing Defense,FALSE,-,,
1.Nf3 Nf6,A,A05,King's Indian Attack; Reti; Zukertort; A05,TRUE,King's Indian Attack; Reti; Zukertort,,
1.Nf3 d5,A,A06,A06,TRUE,A06,,
1.Nf3 d5 2.b3,A,A06,"Nimzovich Opening, Reti",FALSE,-,,
1.Nf3 d5 2.b3 c5 3.e4 dxe4 4.Ne5,A,A06,"Bloodgood Gambit, Reti",FALSE,-,,
1.Nf3 d5 2.b4,A,A06,"Santasiere's Folly, Reti",FALSE,-,,
1.Nf3 d5 2.d3,A,A06,Old Indian Attack,FALSE,-,,
1.Nf3 d5 2.e4,A,A06,Tennison G; Lemberg G; Abonyi G,FALSE,-,,
1.Nf3 d5 2.Nc3,A,A06,"Reversed Mexican Defense, Reti",FALSE,-,,
1.Nf3 d5 2.Rg1,A,A06,"Ampel Variation, Reti",FALSE,-,,
1.Nf3 f5 2.d3,A,A06,"Improved Lisitsin G, Reti",FALSE,-,,
1.Nf3 d5 2.g3,A,A07,"Barcza Opening, Reti; A07",TRUE,"Barcza Opening, Reti",,
1.Nf3 d5 2.g3 c5,A,A08,A08,TRUE,A08,,
1.Nf3 d5 2.c4,A,A09,Reti; Landstrasser G; Wolf G; A09,TRUE,Reti; Landstrasser G; Wolf G,,
1.Nf3 d5 2.c4 c6 3.b3 Nf6 4.Bg2 e6 5.Bb2 Nbd7,A,A09,"London V; New York V, Reti",FALSE,-,,
1.Nf3 d5 2.c4 d4,A,A09,Benoni Reversed; Wing Blumenfeld,FALSE,-,,
1.Nf3 d5 2.c4 d4 3.b4,A,A09,Reti Polonaise,FALSE,-,,
1.Nf3 d5 2.c4 d4 3.Rg1,A,A09,"Penguin Variation, Reti",FALSE,-,,
1.Nf3 d5 2.c4 dxc4,A,A09,Reti Gambit Accepted,FALSE,-,,
1.Nf3 d5 2.c4 e6 3.g3,A,A09,"Neo-Catalan, Reti",FALSE,-,,
1.c4,A,A10,English Opening; A10,TRUE,English Opening,,
1.c4 b5,A,A10,"Halibut Gambit, English",FALSE,-,,
1.c4 d5,A,A10,"Anglo Scandanavian Defense, English",FALSE,-,,
1.c4 d5 2.cxd5 e6,A,A10,"Loehn Gambit, English",FALSE,-,,
1.c4 d5 2.cxd5 Nf6,A,A10,"Schulz Gambit, English",FALSE,-,,
1.c4 d5 2.cxd5 Qxd5 3.Nc3 Qa5,A,A10,"Malvinas Variation, English",FALSE,-,,
1.c4 f5,A,A10,Anglo-Dutch Defense,FALSE,-,,
1.c4 f5 2.b4,A,A10,Anglo-Polish Dutch,FALSE,-,,
1.c4 f5 2.e4,A,A10,"Hickmann Gambit, English",FALSE,-,,
1.c4 f5 2.e4 fxe4 3.d3,A,A10,"Hickmann Gambit, English",FALSE,-,,
1.c4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4,A,A10,"Porcupine Variation, English",FALSE,-,,
1.c4 f5 2.g4,A,A10,"Wade Gambit, English",FALSE,-,,
1.c4 f5 2.g4,A,A10,English Spike,FALSE,-,,
1.c4 f5 2.Nf3 d6 3.e4,A,A10,"Chabanon Gambit, English",FALSE,-,,
1.c4 g5 2.d4 Bg7,A,A10,"Myers Defense, English",FALSE,-,,
1.c4 g5 2.d4 e5,A,A10,"Zilbermints Gambit, English",FALSE,-,,
1.c4 g6,A,A10,"Great Snake, English",FALSE,-,,
1.c4 g6 2.e4 e5,A,A10,"Adorjan System, English",FALSE,-,,
1.c4 g6 2.Nc3 Bg7 3.d4 c5 4.d5 Bxc3 5.bxc3 f5,A,A10,Beefeater,FALSE,-,,
1.c4 Nc6,A,A10,"Anglo-Lithuanian Variation, English",FALSE,-,,
1.c4 c6,A,A11,"Anglo-Slav, English; A11",TRUE,"Anglo-Slav, English",,"Anglo-Slav, Engli"
1.c4 c6 2.Nf3 d5 3.b3,A,A12,A12,TRUE,A12,,
1.c4 c6 2.Nf3 d5 3.b3 Nf6 4.g3 g6,A,A12,"Bled Variation, English",FALSE,-,,
1.c4 e6,A,A13,"Agincourt; Kurajica Defense, English; A13",TRUE,"Agincourt; Kurajica Defense, English",,
1.c4 e6 2.d4 b6,A,A13,English Defense,FALSE,-,,
1.c4 e6 2.Nf3 d5,A,A13,"King's Knight Variation, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.b3 Nf6 4.Bb2 c5 5.e3,A,A13,"Wimpy System, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3,A,A13,"Afincourt Variation, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3 c6,A,A13,"Kurajica Defense, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3 Nf6,A,A13,"Neo Catalan, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4,A,A13,"Neo Catalan Accepted, English",FALSE,-,,
1.c4 e6 2.Nf3 Nf6 3.g3 a6 4.Bg2 b5,A,A13,"Romanishin Gambit, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7,A,A14,A14,TRUE,A14,,
1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O,A,A14,"Neo Catalan Declined, English",FALSE,-,,
1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O c5 6.cxd5 Nxd5 7.Nc3 Nc6,A,A14,"Keres Defense, English",FALSE,-,,
1.c4 Nf6,A,A15,"Anglo System, English; A15",TRUE,"Anglo System, English",,
1.c4 Nf6,A,A15,"Mikenas-Carls Variation, English",FALSE,-,,
1.c4 Nf6 2.b4,A,A15,English Orangutan,FALSE,-,,
1.c4 Nf6 2.g3 h5,A,A15,Shirazi Shove,FALSE,-,,
1.c4 Nf6 2.Nf3,A,A15,"King's Knight Variation, English",FALSE,-,,
1.c4 Nf6 2.Nf3 e6 3.g3 a6,A,A15,"Romanishin Variation, English",FALSE,-,,
1.c4 Nf6 2.Nc3,A,A16,A16,TRUE,A16,,
1.c4 Nf6 2.Nc3 d5,A,A16,"Golombek Defense, English; Anti English",FALSE,-,,
1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nb6,A,A16,"Czech Variation, English",FALSE,-,,
1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3 g6 5.g3 Bg7 6.Bg2 e5,A,A16,"Korchnoi's Variation, English",FALSE,-,,
1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3 g6 5.Qa4+,A,A16,"Stein Attack, English",FALSE,-,,
1.c4 Nf6 2.Nc3 g6 3.Nf3 Bg7 4.e4,A,A16,Anti-anti-grunfeld,FALSE,-,,
1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nxc3,A,A17,"Smyslov Defense, English",FALSE,-,,
1.c4 Nf6 2.Nc3 e6,A,A17,"Hegehog System, Anglo-Indian English; A17",TRUE,"Hegehog System, Anglo-Indian English",,
1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4,A,A17,Nimzo-English Opening,FALSE,-,,
1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4 4.g4,A,A17,"Zviagintsev-Krasenkov Attack, English",FALSE,-,,
1.c4 Nf6 2.Nc3 e6 3.e4,A,A18,"Flohr-Mikenas-Carls Variation, English; A18",TRUE,"Flohr-Mikenas-Carls Variation, English",,
1.c4 Nf6 2.Nc3 e6 3.e4 Nc6,A,A18,"Kevitz Defense, English",FALSE,-,,
1.c4 Nf6 2.Nc3 e6 3.Nf3 b6,A,A18,"Queen's Indian Formation, English",FALSE,-,,
1.c4 Nf6 2.Nc3 e6 3.e4 c5,A,A19,"Floh-Mikenas-Carls Variation, English; A19",TRUE,"Floh-Mikenas-Carls Variation, English",,
1.c4 Nf6 2.Nc3 e6 3.e4 c5 4.e5 Ng8,A,A19,"Nei Gambit, English",FALSE,-,,
